L1,L2,L3,Enabled	,DisplayOrder
常溫食品,五穀/豆類/米麵/乾貨,烹調食材,1,1
常溫食品,五穀/豆類/米麵/乾貨,燕麥/五穀/玉米,1,2
常溫食品,五穀/豆類/米麵/乾貨,米類,1,3
常溫食品,五穀/豆類/米麵/乾貨,麵條/冬粉,1,4
常溫食品,休閒食品,果乾,1,5
常溫食品,休閒食品,植物肉,1,6
常溫食品,休閒食品,糖果/果凍/豆乾,1,7
常溫食品,休閒食品,餅乾/脆果,1,8
常溫食品,伴手好禮,伴手好禮,1,9
常溫食品,即時熟品,即食湯品,1,10
常溫食品,即時熟品,即食粥/麵,1,11
常溫食品,堅果食品,堅果,1,12
常溫食品,抹醬/果醬,抹醬/果醬,1,13
常溫食品,沖調/飲品/咖啡/早餐,咖啡,1,14
常溫食品,沖調/飲品/咖啡/早餐,早餐麥片,1,15
常溫食品,沖調/飲品/咖啡/早餐,沖調飲品,1,16
常溫食品,沖調/飲品/咖啡/早餐,花果茶/草本飲品,1,17
常溫食品,沖調/飲品/咖啡/早餐,茶葉/茶包,1,18
常溫食品,沖調/飲品/咖啡/早餐,飲品,1,19
常溫食品,調味/醬料/醬菜,沾/拌醬,1,20
常溫食品,調味/醬料/醬菜,素鬆,1,21
常溫食品,調味/醬料/醬菜,辛香料,1,22
常溫食品,調味/醬料/醬菜,醬油/味噌/糖,1,23
常溫食品,調味/醬料/醬菜,醬菜,1,24
常溫食品,食用油,植物油,1,25
常溫食品,養身/酵素,養身食品,1,26
常溫食品,養身/酵素,養身飲品,1,27
生活用品,個人清潔類,衣物清潔用品,1,28
生活用品,個人清潔類,身體清潔保養,1,29
生活用品,居家清潔類,防蚊、防蟑,1,30
生活用品,居家清潔類,餐具/蔬果清潔,1,31
時尚女性,女用皮包,經典側/斜背包,1,32
時尚女性,女用皮包,經典後背包,1,33
時尚女性,女用皮包,經典手提包,1,34
時尚女性,女用皮包,羊皮手提包,1,35
時尚女性,女用皮包,輕量A4大容量包,1,36
時尚女性,女用皮包,輕量側/斜肩背包,1,37
時尚女性,女用皮包,輕量後背包,1,38
時尚女性,女用皮包,輕量手提包,1,39
潮流男性,潮流男性,休閒包,1,40
潮流男性,潮流男性,六夾,1,41
潮流男性,潮流男性,四夾,1,42
潮流男性,潮流男性,男用皮帶,1,43
潮流男性,潮流男性,皮夾,1,44
潮流男性,潮流男性,胸包,1,45
戶外與運動用品,運動鞋/戶外鞋,慢跑鞋,1,46
戶外與運動用品,運動鞋/戶外鞋,登山鞋,1,47
戶外與運動用品,運動鞋/戶外鞋,籃球鞋,1,48
磐鈺建設,磐鈺草間漫漫,極致輕寓2房,1,49
磐鈺建設,磐鈺雲華,光合雅寓3房,1,50
磐鈺建設,磐鈺雲詠,市景菁英3房,1,51
磐鈺建設,磐鈺雲詠,景觀大戶4房,1,52
美妝保養用品,美妝保養用品,美妝保養用品,1,53
