商品編號,商品名稱,大分類名稱,中分類名稱,小分類名稱,規格,售價,特價,庫存量,品牌,描述,Youtube 影片介紹,購物網址,備註,商品圖片網址1
4715318010257,有機白米/2kg,常溫食品,五穀/豆類/米麵/乾貨,米類,無,280,0.0,36,台東鹿野,最優良的水稻品種、應用自然農法、施予有機資材與綠色肥料、拒絕化肥與農藥、結合獨特精製技術、成就新鮮光滑香 Q 柔軟營養高黏度的好米. ※驗證機構名稱:國立成功大學 ※合格證書編號:NCKU-GPCD-PM-027-12 驗證字號:1-006-300704 【煮法】 1.洗米 快速沖洗、不必搓柔、頭一次的水要快倒. 2.加水 米:水約為 1:1.2 或 1:1.3、依軟硬喜好調整水量. 3.浸泡 30~60 分鐘、天冷可延長至 120 分鐘. 4.烹煮 就交給電鍋吧. 5.悶煮 煮飯開關跳起後、再悶 10~15 分鐘. 6.享用 打開鍋蓋、充分攪拌.嗯∼果然超好吃! ◎產品名稱:台東鹿野有機白米 ◎內容物重量:2 公斤&plusmn;1.5% ◎品質規格:CNS 二等白米 ◎品種:?米(台灣•台東) ◎保存期限:真空中六個月 協成製材碾米工廠 地址:台東縣鹿野鄉永安村 10 鄰中華路三段 281 巷 9 號 糧商營業執照:農糧東字第 1400040 號 工廠登記證字號:99-666341-00#XX,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5427&pageIndex=0&goodId=28788,台東鹿野,https://pshop.myqr.com.tw/qrssimage/GoodsImage/67/67667.jpg?76
4715318010103,有機香米/2kg,常溫食品,五穀/豆類/米麵/乾貨,米類,無,300,0.0,15,台東鹿野,榮獲 ISO22000 國際品質 HACCP 食品安全系統管理驗證 【煮法】 1.洗米 快速沖洗、不必搓揉、頭一次的水要快倒. 2.加水 米:水約為 1:1.0~1:1.2、依軟硬喜好調整水量. 3.浸泡 30 分鐘. 4.烹煮 就交給電鍋吧. 5.悶煮 煮飯開關跳起後、再悶 20 分鐘. 6.享用 打開鍋蓋、充分攪拌、再燜 5~10 分鐘、即可食用. ★產品內容 成份:有機白米(香米) 品種:?稻 重量:2kg 品質規格:CNS 一等白米 保存期限:6 個月 有效日期:標示於包裝上 產地:台灣 驗證單位:國立中興大學 驗證字號:1-006-300704 ★營養標示 (每份 80 公克中含) 熱量 275.4 大卡 蛋白質 6.6 公克 脂肪 0.5 公克 飽和脂肪酸 0.6 公克 反式脂肪酸 0.0 公克 碳水化合物 61.2 公克 糖 0.0 公克 鈉 3 毫克,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5427&pageIndex=0&goodId=28787,台東鹿野 有機驗證,https://pshop.myqr.com.tw/qrssimage/GoodsImage/67/67665.jpg?76
4715318010288,有機糙米2kg,常溫食品,五穀/豆類/米麵/乾貨,米類,無,270,0.0,35,台東鹿野,榮獲 ISO22000 國際品質 HACCP 食品安全系統管理驗證 【煮法】 1.洗米 快速沖洗、不必搓揉、頭一次的水要快倒. 2.加水 米:水約為 1:1.0~1:1.2、依軟硬喜好調整水量. 3.浸泡 30 分鐘. 4.烹煮 就交給電鍋吧. 5.悶煮 煮飯開關跳起後、再悶 20 分鐘. 6.享用 打開鍋蓋、充分攪拌、再燜 5~10 分鐘、即可食用. ★產品內容 成份:台東鹿野有機糙米 重量:2kg 品質規格:CNS 二等糙米 保存期限:6 個月 有效日期:標示於包裝上 產地:台灣 驗證單位:國立中興大學 驗證字號:1-006-300704 ★營養標示 (每份 80 公克中含) 熱量 291 大卡 蛋白質 6.4 公克 脂肪 2.4 公克 飽和脂肪酸 0.2 公克 反式脂肪酸 0.0 公克 膽固醇 0.0 毫克 碳水化合物 60.8 公克 糖 0.0 公克 膳食纖維 2.4 公克 鈉 2 毫克,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5427&pageIndex=0&goodId=28790,台東鹿野 有機驗證  Hacp  Wacp,https://pshop.myqr.com.tw/qrssimage/GoodsImage/67/67673.jpg?95
4714379951028,米森有機五色十穀米/900g,常溫食品,五穀/豆類/米麵/乾貨,米類,無,250,0.0,23,米森,米森有機五色十穀米 ◎堅持真有機食材 - 真材實料吃得到 【米森有機五色十穀米】嚴選『台灣有機糙米』搭配『漢方養生五色配方』等十種有機穀麥雜糧、具有多層次的豐富口感、且能一次滿足各種有機穀物雜糧的完整成份、是全家人飲食的最佳首選! ◎漢方養生 - 五色均衡配方 漢方養生的概念、特別注重五色食物對應人體的均衡飲食、而五色則是來自於食物外表的綠、白、紅、黃、黑五種顏色、因此【米森 - 有機五色十穀米】特別精選具有五色的多穀米糧、並注重各種穀物的成份均衡及口感. 驗證單位:慈心有機驗證股份有限公司 有機農產品驗證證書字號:1-009-210002 規格:900 公克 保存期限:12 個月(未開封前) 保存方式:避免日光直射、置於陰涼乾燥處、開封後請冷藏並請儘快食用完畢 【青荷御膳房】 1.洗米浸泡:直接取有機五色十穀米後、加水輕搓洗米 2~3 分鐘後、在加水浸泡(夏天 2~3 小時、冬天 3~4 小時). 2.加水烹煮:將泡好的米倒掉水後、重新加入清水至鍋中烹煮、有機五色十穀米與水的比例為 1:1.2~1.3. 3.燜鍋:電鍋煮熟後再燜約 10~15 分鐘、並避免掀起鍋蓋. 4.攪拌:開蓋後充分攪拌後、再蓋鍋 5~10 分鐘、即可食用並增加米飯口感. 產品內容物與規格說明 / 保固資訊 1.品名:【米森 Vilson】有機五色十穀米 2.淨重、容量:900g 3.食品添加物名稱:無 4.原產地(國):台灣、美國、澳洲、加拿大、中國(台灣有機工廠分裝) 5.保存期限:12 個月 6.廠商名稱:青荷國際有限公司 電話:03-359-4557 地址:桃園市龜山區振興路 1165 之 1 號,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5427&pageIndex=0&goodId=28564,青荷 慈心驗證 慈心認證 慈心有機驗證,https://pshop.myqr.com.tw/qrssimage/GoodsImage/66/66395.jpeg?32
4714379951776,米森有機藜麥八寶米/900g,常溫食品,五穀/豆類/米麵/乾貨,米類,無,250,0.0,6,米森,米森有機藜麥八寶米 無糯米配方、輕鬆無負擔 堅持有機食材、真材實料吃得到 米森有機藜麥八寶米嚴選「台灣有機糙米」搭配「安地斯山 - 有機紅藜麥」等多種有機穀麥、並調配出「無糯米配方」、讓全家人吃飯輕鬆無負擔、且能一次滿足多種有機穀物雜糧的完整豐富精華、為全家人米飯飲食的最佳主食首選. 印加穀物之母、有機紅藜麥 紅藜麥(RedQuinoa)、又名印地安麥、主產於南美 - 安地斯山區、是古印加文明最重要的食物之一.米森為了尋找最佳的全穀食物組合、特地遠從玻利維亞的有機農園、找尋品質穩定、且安全有機栽培的有機藜麥、其口感細緻及特殊風味更能表現其「穀物之母」的美名. 【商品規格】 品名:米森有機藜麥八寶米 原料:有機糙米(台灣 /47%)、有機蕎麥仁(美國 /10%)、有機黑麥仁(芬蘭 /10%)、有機小米(美國 /10%)、有機珍珠大麥(芬蘭 /10%)、有機紅扁豆(土耳其 /5%)、有機燕麥仁(澳洲 /4%)、有機紅藜麥(玻利維亞 /4%) 原產地:台灣、美國、芬蘭、土耳其、澳洲、玻利維亞 淨重:900 公克 保存期限:12 個月(未開封前) 有效日期:標示於外包裝上(西元年 / 月 / 日) 保存方式:避免日光直射、置於陰涼乾燥處、開封後請冷藏並請儘快食用完畢 驗證單位:慈心有機驗證股份有限公司 有機農產品驗證證書字號:1-009-210002 委託工廠:簡單生活開發有限公司(通過國際 ISO22000 及 HACCP 食品安全認證) 【青荷御膳房】 1.洗米浸泡:直接取出有機藜麥八寶米後、加水輕搓洗米 2~3 分鐘後、再加水浸泡(夏天 2~3 小時、冬天 3~4 小時). 2.加水烹煮:將泡好的米倒掉水後、重新加入清水至鍋中烹煮、有機藜麥八寶米與水的比例為 1:1.2~1.3. 3.燜鍋:電鍋煮熟後再燜約 10~15 分鐘、並避免掀起鍋蓋. 4.攪拌:開蓋後充分攪拌後、再蓋鍋 5~10 分鐘、即可食用並增加米飯口感. 產品內容物與規格說明 / 保固資訊 品名:【米森】有機藜麥八寶米 原料:有機糙米(台灣 /47%)、有機蕎麥仁(美國 /10%)、有機黑麥仁(芬蘭 /10%)、有機小米(美國 /10%)、有機珍珠大麥(芬蘭 /10%)、有機紅扁豆(土耳其 /5%)、有機燕麥仁(澳洲 /4%)、有機紅藜麥(玻利維亞 /4%) 原產地:台灣、美國、芬蘭、土耳其、澳洲、玻利維亞 淨重:900 公克 食品添加物名稱:無 保存期限:12 個月(未開封前) 保存方式:避免日光直射、置於陰涼乾燥處、開封,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5427&pageIndex=0&goodId=28563,青荷 慈心驗證 慈心認證 慈心有機驗證,https://pshop.myqr.com.tw/qrssimage/GoodsImage/66/66385.jpg?32
4712834520154,歐特有機小米/480g,常溫食品,五穀/豆類/米麵/乾貨,米類,無,115,0.0,23,歐特,全程遵循有機農法栽種的有機小米、顆粒晶瑩圓潤、透著黃澄澄的光澤、滿溢新鮮飽滿的天然清香、 金黃的米粒、蘊含人體所需的豐富營養素.小米不含麩質、纖維質溫和、口感綿細且易於消化、是 幼兒成長的優質營養補充品. 有機小米適合烹調各式粥品、可單獨熬煮、或添加紅豆、大棗、蓮子等、熬成風味獨特的營養粥. ★原料通過有機驗證 ★小米含有豐富蛋白質、脂肪和碳水化合物、營養比白米高出許多、纖維質又不像糙米或糯米這樣粗糙不易消化、適合幼年及老人來食用. ●產地:美國 ●美國 QAI 有機驗證 ●無農藥殘留、不使用化學肥料 ●小米含有豐富蛋白質、脂肪和碳水化合物、營養比白米高出許多、纖維質又不像糙米或糯米這樣粗糙不易消化、適合幼年及老人來食用. 內容物:有機小米 食品添加物:無 淨重:480g 原產地:美國或烏克蘭 有機驗證字號:TOC-P0110 有機驗證機構:慈心有機驗證股份有限公司 保存期限:一年(未開封) 保存方式:請存放於陰涼乾燥處、開封後請冷藏或儘快食用完畢. 注意事項: 1.本產品生產製程廠房、其設備或生產管線有處理堅果種子類、含有麩質的穀類、大豆及其製品. 2.內附脫氧劑請勿食用. 國內負責廠商資料 名稱:正原有機國際有限公司 南瓜小米粥 精選食材歐特有機小米 3 大匙、南瓜 1/4 顆、鹽 or 砂糖 or 醬油適量備料用具電鍋、塑膠袋、瓦斯爐 01 將南瓜連皮刷洗乾淨放入電鍋蒸熟、放入塑膠袋壓成碎泥 02 再將南瓜碎泥放入滾水中、加入沖洗乾淨的小米一起用慢火滾煮 25 分 03 依各人喜好放入鹽 or 砂糖 or 醬油調味皆可、一碗簡單清爽又健康的有機粥品就,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5427&pageIndex=0&goodId=28608,歐特 慈心驗證 慈心認證 慈心有機驗證,https://pshop.myqr.com.tw/qrssimage/GoodsImage/66/66727.jpg?67
4710799221093,冬菜意麵/56g*5粒,常溫食品,五穀/豆類/米麵/乾貨,麵條/冬粉,無,100,0.0,-38,源順,【源順】冬菜意麵 特調冬菜粉包、乾燥蔬菜、味道鮮美、滑溜的麵條口感、回味古早年代品嚐風味絕佳的路邊小吃. 1.熱水煮滾沖泡即可食用、內附調味包及冬菜絲可依個人喜好增減. 2.可加入蔬菜、菇類及多種配料一起烹煮、起鍋前加入適量胡椒粉、好吃的素食鍋燒意麵即可上桌. 3.將意麵以熱開水泡軟、拌入蔬菜及麵糊下鍋煎、美味的意麵大阪燒也讓人垂涎三尺哦~ 4.意麵以熱水泡軟備用、起油鍋炒香蔬菜及香辛料及調味粉後、倒入意麵拌炒均勻、炒意麵就完成囉! 成分: 麵體 / 麵粉、食鹽、蛋、棕櫚油、樹薯澱粉 調味粉 / 高湯粉{食鹽、高鮮調味料[麥芽糊精、琥珀酸二鈉、5&#39;- 鳥嘌呤核?磷酸二鈉、5&#39;- 次黃嘌呤核?磷酸二鈉、胺基乙酸、檸檬酸鈉、食鹽、DL- 胺基丙酸、甘草酸銨(甜味劑)]、砂糖、當歸粉、5&#39;- 鳥嘌呤核?磷酸二鈉、5&#39;- 次黃嘌呤核?磷酸二鈉、胡椒粉、孜然粉、二氧化矽、五香粉(小茴、肉桂、陳皮、八角、胡荽子、甘草、丁香、當歸、香芹子、川芎、山奈)、大茴粉、辣椒粉、焦糖色素}、乾燥蔬菜(高麗菜、紅蘿蔔) 冬菜 /【高麗菜、食鹽、香辛料(肉桂、花椒、八角、小茴、丁香)、味精(調味劑)】 淨重:56g*5 粒入 產地:台灣製造 保存期限:8 個月,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5428&pageIndex=0&goodId=29815,無,https://pshop.myqr.com.tw/qrssimage/GoodsImage/71/71447.png?67
4710799221079,冬菜雞絲麵/50g*5粒,常溫食品,五穀/豆類/米麵/乾貨,麵條/冬粉,無,100,0.0,-2,源順,【源順】冬菜雞絲麵 源順精選優質麵條、加上特製的冬菜;冬菜的香氣帶著一股讓人懷念的古早味! 特調蔬菜調味包及冬菜、湯頭味道更鮮美、滑溜的麵條口感、讓人回味古早年代品嚐風味絕佳的路邊小吃. 本產品為全素. 1.熱水煮滾沖泡即可食用、內附調味包及冬菜絲可依個人喜好增減. 2.可加入蔬菜、菇類及多種配料一起烹煮、起鍋前加入適量胡椒粉、好吃的素食鍋燒雞絲麵即可上桌. 3.將雞絲麵以熱開水泡軟、拌入蔬菜及麵糊下鍋煎、美味的雞絲麵大阪燒也讓人垂涎三尺哦~ 4.雞絲麵以熱水泡軟備用、起油鍋炒香蔬菜及香辛料及調味粉後、倒入雞絲麵拌炒均勻、炒雞絲麵就完成囉! 成分: 麵體 / 麵粉、食鹽、棕櫚油、樹薯澱粉 調味粉 / 高湯粉{食鹽、高鮮調味料[麥芽糊精、琥珀酸二鈉、5&#39;- 鳥嘌呤核?磷酸二鈉、5&#39;- 次黃嘌呤核?磷酸二鈉、胺基乙酸、檸檬酸鈉、食鹽、DL- 胺基丙酸、甘草酸銨(甜味劑)]、砂糖、當歸粉、5&#39;- 鳥嘌呤核?磷酸二鈉、5&#39;- 次黃嘌呤核?磷酸二鈉、胡椒粉、孜然粉、二氧化矽、五香粉(小茴、肉桂、陳皮、八角、胡荽子、甘草、丁香、當歸、香芹子、川芎、山奈)、大茴粉、辣椒粉、焦糖色素}、乾燥蔬菜(高麗菜、紅蘿蔔) 冬菜 /【高麗菜、食鹽、香辛料(肉桂、花椒、八角、小茴、丁香)、味精(調味劑)】 淨重:50g*5 粒入 產地:台灣製造 保存期限:8 個月,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5428&pageIndex=0&goodId=29816,無,https://pshop.myqr.com.tw/qrssimage/GoodsImage/71/71451.jpg?67
4711175005399,有機十穀Q麵/375g,常溫食品,五穀/豆類/米麵/乾貨,麵條/冬粉,無,135,0.0,251,展康,★營養健康的十穀麵 ★輕食料理搭配味榮拌醬、風味更佳! ★請注意~本商品經日照曝曬後((釋出水份)) 製作後、麵體會有些許小黑點紅點、屬天然正常現象、請安心食用 ★通過采園生態驗證、驗證字號:EG-131105P1Z 內容物名稱有機高筋麵粉(英國 / 德國)、有機十穀粉【有機糙米(台灣)、有機米糠(台灣)、有機黑豆(中國)、有機黑芝麻(美國)、有機小麥(澳洲)、有機蕎麥(美國)、有機南瓜子(中國)、有機紅豆(巴西)、有機珍珠大麥(芬蘭)、有機小米(美國)、有機燕麥仁(中國)】、鹽 內容量 375g 原產地(國)台灣 保存期限 730 日 廠商名稱展康國際有機(股)公司 投保產品責任險字號 07 字第 362205A00098 號 食品業者登錄字號 B-105698174-00000-9,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5428&pageIndex=0&goodId=28777,展康 有機認證,https://pshop.myqr.com.tw/qrssimage/GoodsImage/67/67616.jpg?51
4711175005382,有機十穀刀削麵/375g,常溫食品,五穀/豆類/米麵/乾貨,麵條/冬粉,無,135,0.0,126,展康,★營養健康的十穀麵 ★輕食料理搭配味榮拌醬、風味更佳! ★請注意~本商品經日照曝曬後((釋出水份)) ★製作後、麵體會有些許小黑點紅點、屬天然正常現象、請安心食用 ★通過采園生態驗證、驗證字號:EG-131105P1Z 內容物名稱有機高筋麵粉(英國 / 芬蘭 / 德國 / 土耳其)、有機十榖粉【有機糙米(台灣)、有機米糠(台灣)、有機黑豆(中國)、有機黑芝麻(美國)、有機小麥(澳洲)、有機蕎麥(美國)、有機南瓜子(中國)、有機紅豆(巴西)、有機珍珠大麥(芬蘭)、有機小米(美國)、有機燕麥(中國)】、鹽 內容量 375g/ 包 原產地(國):台灣 保存期限:730 日 廠商名稱:展康國際有機(股)公司 投保產品責任險字號:B-105698174-00000-9 食品業者登錄字號:07 字第 362205A00098 號,無,https://s1.myqr.com.tw/newshop/177/TypeGoods?type2=5425&type1=5426&type0=5428&pageIndex=0&goodId=28775,展康 有機認證,https://pshop.myqr.com.tw/qrssimage/GoodsImage/67/67600.jpg?51
